split_dir,split_name,method,val_mae_mean,val_mae_std,val_mrae_mean,val_mrae_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mrae_mean,test_mrae_std,test_r2_mean,test_r2_std,val_mae_count,val_mrae_count,val_r2_count,test_mae_count,test_mrae_count,test_r2_count
category,Antimonides,ALIGNN,0.27878743410110474,,0.24843361973762512,,0.39498257637023926,,0.27878743410110474,,0.24843361973762512,,0.39498257637023926,,1,1,1,1,1,1
category,Antimonides,CartNet,0.7680661082267761,,0.7159790396690369,,-2.259273052215576,,0.7680660486221313,,0.7159790396690369,,-2.259272813796997,,1,1,1,1,1,1
category,Antimonides,CGCNN,0.9391998648643494,,0.9883992671966553,,-8.422381401062012,,0.9391998648643494,,0.9883992671966553,,-8.422381401062012,,1,1,1,1,1,1
category,Antimonides,CHGNet,0.4559134244918823,,0.44274041056632996,,-0.45173513889312744,,0.4559134840965271,,0.44274044036865234,,-0.4517357051372528,,1,1,1,1,1,1
category,Antimonides,LEFTNet,0.47217443585395813,,0.5548797249794006,,-0.9594758152961731,,0.47217443585395813,,0.5548798441886902,,-0.9594758152961731,,1,1,1,1,1,1
category,Arsenides,ALIGNN,0.4368479549884796,,0.38055744767189026,,-0.4892464876174927,,0.4368479549884796,,0.38055744767189026,,-0.4892464876174927,,1,1,1,1,1,1
category,Arsenides,CartNet,0.5171499252319336,,0.400672048330307,,-1.6166751384735107,,0.5171499252319336,,0.4006720185279846,,-1.6166751384735107,,1,1,1,1,1,1
category,Arsenides,CGCNN,0.6014128923416138,,0.5018525123596191,,-1.5589656829833984,,0.6014128923416138,,0.5018525123596191,,-1.5589656829833984,,1,1,1,1,1,1
category,Arsenides,CHGNet,0.504600465297699,,0.4695392847061157,,-1.5644876956939697,,0.5046004056930542,,0.46953922510147095,,-1.5644876956939697,,1,1,1,1,1,1
category,Arsenides,LEFTNet,0.5669946074485779,,0.4982219934463501,,-1.2073850631713867,,0.5669946074485779,,0.4982220232486725,,-1.2073850631713867,,1,1,1,1,1,1
category,Carbides,ALIGNN,0.7300054430961609,,0.27174922823905945,,-0.9962068796157837,,0.7300054430961609,,0.27174922823905945,,-0.9962068796157837,,1,1,1,1,1,1
category,Carbides,CartNet,0.6346989870071411,,0.2500234544277191,,-0.2593623399734497,,0.6346988677978516,,0.2500234544277191,,-0.25936198234558105,,1,1,1,1,1,1
category,Carbides,CGCNN,1.462882399559021,,0.5901561975479126,,-6.931164264678955,,1.462882399559021,,0.5901561975479126,,-6.931164264678955,,1,1,1,1,1,1
category,Carbides,CHGNet,0.6241044402122498,,0.23581330478191376,,-0.26920533180236816,,0.6241044998168945,,0.23581337928771973,,-0.26920509338378906,,1,1,1,1,1,1
category,Carbides,LEFTNet,0.6309258341789246,,0.25503242015838623,,-0.22329378128051758,,0.6309258341789246,,0.2550324499607086,,-0.22329401969909668,,1,1,1,1,1,1
category,Chalcogenides,ALIGNN,0.633712112903595,,0.3117425739765167,,-0.07658576965332031,,0.633712112903595,,0.3117425739765167,,-0.07658576965332031,,1,1,1,1,1,1
category,Chalcogenides,CartNet,0.6008279323577881,,0.31844815611839294,,0.09154582768678665,,0.6008279323577881,,0.31844815611839294,,0.11295910179615021,,1,1,1,1,1,1
category,Chalcogenides,CGCNN,0.6214814782142639,,0.3287818431854248,,-0.06337662041187286,,0.6214814782142639,,0.3287818431854248,,-0.06337662041187286,,1,1,1,1,1,1
category,Chalcogenides,CHGNet,0.5027748346328735,,0.2786756157875061,,0.31867823004722595,,0.5027748346328735,,0.2786756157875061,,0.31867820024490356,,1,1,1,1,1,1
category,Chalcogenides,LEFTNet,0.5113821029663086,,0.268606573343277,,0.28234216570854187,,0.5113821029663086,,0.268606573343277,,0.28234219551086426,,1,1,1,1,1,1
category,Halides,ALIGNN,0.8353966474533081,,0.4019060730934143,,-0.32770559191703796,,0.8353966474533081,,0.4019060730934143,,-0.32770559191703796,,1,1,1,1,1,1
category,Halides,CartNet,0.8790109753608704,,0.42237019538879395,,-0.3590673506259918,,0.8790109753608704,,0.42237019538879395,,-0.44087934494018555,,1,1,1,1,1,1
category,Halides,CGCNN,0.8401261568069458,,0.3911536931991577,,-0.26264119148254395,,0.8401261568069458,,0.3911536931991577,,-0.26264119148254395,,1,1,1,1,1,1
category,Halides,CHGNet,0.7556079626083374,,0.40966716408729553,,-0.06397106498479843,,0.7556079626083374,,0.40966716408729553,,-0.06397099047899246,,1,1,1,1,1,1
category,Halides,LEFTNet,0.7095425724983215,,0.36278942227363586,,0.10559699684381485,,0.7095425128936768,,0.3627893626689911,,0.10559716820716858,,1,1,1,1,1,1
category,Hydrides,ALIGNN,0.7872101664543152,,0.3942335844039917,,0.23488986492156982,,0.7872101664543152,,0.3942335844039917,,0.23488986492156982,,1,1,1,1,1,1
category,Hydrides,CartNet,0.9662224650382996,,0.5420699715614319,,-0.15654361248016357,,0.9662225842475891,,0.5420700311660767,,-0.15654373168945312,,1,1,1,1,1,1
category,Hydrides,CGCNN,0.7895163297653198,,0.35689669847488403,,0.28396713733673096,,0.7895163297653198,,0.35689669847488403,,0.28396713733673096,,1,1,1,1,1,1
category,Hydrides,CHGNet,0.606455385684967,,0.3549898862838745,,0.5240311026573181,,0.6064552068710327,,0.3549898564815521,,0.5240311622619629,,1,1,1,1,1,1
category,Hydrides,LEFTNet,0.6093748211860657,,0.2987975478172302,,0.6186822056770325,,0.609375,,0.2987975776195526,,0.6186820268630981,,1,1,1,1,1,1
category,Nitrides,ALIGNN,1.1527601480484009,,0.5086837410926819,,-0.5055283308029175,,1.1527601480484009,,0.5086837410926819,,-0.5055283308029175,,1,1,1,1,1,1
category,Nitrides,CartNet,1.2947214841842651,,0.8241033554077148,,-2.4317009449005127,,1.2947218418121338,,0.8241034746170044,,-2.4317023754119873,,1,1,1,1,1,1
category,Nitrides,CGCNN,0.9692147374153137,,0.4469393193721771,,-0.12235057353973389,,0.9692147374153137,,0.4469393193721771,,-0.12235057353973389,,1,1,1,1,1,1
category,Nitrides,CHGNet,0.7530585527420044,,0.4441779553890228,,0.23028963804244995,,0.753058671951294,,0.4441779553890228,,0.23028956353664398,,1,1,1,1,1,1
category,Nitrides,LEFTNet,0.9388620853424072,,0.48844969272613525,,-0.1490999460220337,,0.9388620853424072,,0.48844969272613525,,-0.14910006523132324,,1,1,1,1,1,1
category,Oxides,ALIGNN,0.8827348947525024,,0.33958640694618225,,-0.30427008867263794,,0.8827348947525024,,0.33958640694618225,,-0.30427008867263794,,1,1,1,1,1,1
category,Oxides,CartNet,1.0404870510101318,,0.3707600235939026,,-0.6135959029197693,,1.0404871702194214,,0.370760053396225,,-0.6552127599716187,,1,1,1,1,1,1
category,Oxides,CGCNN,1.5224251747131348,,0.49300116300582886,,-2.7583792209625244,,1.5224251747131348,,0.49300116300582886,,-2.7583792209625244,,1,1,1,1,1,1
category,Oxides,CHGNet,0.7029910087585449,,0.287362277507782,,0.06536192446947098,,0.7029910087585449,,0.287362277507782,,0.06536192446947098,,1,1,1,1,1,1
category,Oxides,LEFTNet,0.7280338406562805,,0.2860671579837799,,0.07188493013381958,,0.7280336618423462,,0.2860671579837799,,0.07188496738672256,,1,1,1,1,1,1
category,Phosphides,ALIGNN,0.6274493336677551,,0.3940871059894562,,-0.06491589546203613,,0.6274493336677551,,0.3940871059894562,,-0.06491589546203613,,1,1,1,1,1,1
category,Phosphides,CartNet,0.6374688744544983,,0.43461039662361145,,-0.12945568561553955,,0.6374688744544983,,0.43461042642593384,,-0.12945568561553955,,1,1,1,1,1,1
category,Phosphides,CGCNN,0.6045575737953186,,0.37549400329589844,,-0.12150692939758301,,0.6045575737953186,,0.37549400329589844,,-0.12150692939758301,,1,1,1,1,1,1
category,Phosphides,CHGNet,0.5598391890525818,,0.36857908964157104,,-0.03439760208129883,,0.559839129447937,,0.36857908964157104,,-0.034397125244140625,,1,1,1,1,1,1
category,Phosphides,LEFTNet,0.5150955319404602,,0.36949270963668823,,0.01809990406036377,,0.515095591545105,,0.36949270963668823,,0.01809990406036377,,1,1,1,1,1,1
category,Silicides,ALIGNN,0.3723374009132385,,0.3834128677845001,,0.2298564910888672,,0.3723374009132385,,0.3834128677845001,,0.2298564910888672,,1,1,1,1,1,1
category,Silicides,CartNet,0.5732805132865906,,0.6192196607589722,,-0.9697965383529663,,0.5732805728912354,,0.6192197203636169,,-0.9697967767715454,,1,1,1,1,1,1
category,Silicides,CGCNN,2.0774500370025635,,2.661318302154541,,-29.172693252563477,,2.0774500370025635,,2.661318302154541,,-29.172693252563477,,1,1,1,1,1,1
category,Silicides,CHGNet,0.6854143738746643,,0.9721323251724243,,-2.279184579849243,,0.6854145526885986,,0.9721325039863586,,-2.2791860103607178,,1,1,1,1,1,1
category,Silicides,LEFTNet,0.7479960918426514,,0.895766019821167,,-1.996906042098999,,0.7479961514472961,,0.895766019821167,,-1.99690580368042,,1,1,1,1,1,1
category_no_pretrain,Antimonides,ALIGNN,0.4264027178287506,,0.3503594398498535,,-0.41381359100341797,,0.4264027178287506,,0.3503594398498535,,-0.41381359100341797,,1,1,1,1,1,1
category_no_pretrain,Antimonides,CartNet,0.4765184819698334,,0.38718244433403015,,-0.6206245422363281,,0.47651851177215576,,0.38718241453170776,,-0.6206245422363281,,1,1,1,1,1,1
category_no_pretrain,Antimonides,CGCNN,0.7800582647323608,,0.6798067092895508,,-2.9689836502075195,,0.7800582647323608,,0.6798067092895508,,-2.9689836502075195,,1,1,1,1,1,1
category_no_pretrain,Antimonides,CHGNet,0.5397070050239563,,0.3757445514202118,,-1.083092451095581,,0.5397070050239563,,0.3757445216178894,,-1.0830926895141602,,1,1,1,1,1,1
category_no_pretrain,Antimonides,LEFTNet,0.7480491995811462,,0.6871442794799805,,-2.016573667526245,,0.7480491995811462,,0.6871442794799805,,-2.016573667526245,,1,1,1,1,1,1
category_no_pretrain,Antimonides,Linear Regression,0.8548483966562931,,0.80501525899297,,-2.8671132856345096,,0.8548483966562931,,0.80501525899297,,-2.8671132856345096,,1,1,1,1,1,1
category_no_pretrain,Antimonides,Random Forest,0.7820846540997746,,0.792338840243525,,-1.9978304116558974,,0.7820846540997746,,0.792338840243525,,-1.9978304116558974,,1,1,1,1,1,1
category_no_pretrain,Antimonides,Support Vector Regression,0.6663376401367446,,0.632119514881007,,-2.0786406854075006,,0.6663376401367446,,0.632119514881007,,-2.0786406854075006,,1,1,1,1,1,1
category_no_pretrain,Arsenides,ALIGNN,0.344869464635849,,0.2885705828666687,,0.23744016885757446,,0.344869464635849,,0.2885705828666687,,0.23744016885757446,,1,1,1,1,1,1
category_no_pretrain,Arsenides,CartNet,0.43010902404785156,,0.3584222197532654,,-0.3634716272354126,,0.43010902404785156,,0.3584222197532654,,-0.3634718656539917,,1,1,1,1,1,1
category_no_pretrain,Arsenides,CGCNN,0.5041890144348145,,0.5455613136291504,,-1.6505053043365479,,0.5041890144348145,,0.5455613136291504,,-1.6505053043365479,,1,1,1,1,1,1
category_no_pretrain,Arsenides,CHGNet,0.4153304100036621,,0.42575231194496155,,-0.26037585735321045,,0.4153304100036621,,0.42575228214263916,,-0.26037561893463135,,1,1,1,1,1,1
category_no_pretrain,Arsenides,LEFTNet,0.6161275506019592,,0.6204167604446411,,-1.8208777904510498,,0.6161274909973145,,0.6204166412353516,,-1.8208775520324707,,1,1,1,1,1,1
category_no_pretrain,Arsenides,Linear Regression,0.7118756599397983,,0.7079751813222527,,-2.8233622854167657,,0.7118756599397983,,0.7079751813222527,,-2.8233622854167657,,1,1,1,1,1,1
category_no_pretrain,Arsenides,Random Forest,0.5110445799924773,,0.4841372435345123,,-0.9274142568584092,,0.5110445799924773,,0.4841372435345123,,-0.9274142568584092,,1,1,1,1,1,1
category_no_pretrain,Arsenides,Support Vector Regression,0.6142511688600532,,0.6286504672410096,,-1.914035255365885,,0.6142511688600532,,0.6286504672410096,,-1.914035255365885,,1,1,1,1,1,1
category_no_pretrain,Carbides,ALIGNN,0.5262359380722046,,0.20671264827251434,,-0.06149399280548096,,0.5262359380722046,,0.20671264827251434,,-0.06149399280548096,,1,1,1,1,1,1
category_no_pretrain,Carbides,CartNet,0.32912778854370117,,0.10636807233095169,,0.3791276514530182,,0.32912778854370117,,0.1063680574297905,,0.37912774085998535,,1,1,1,1,1,1
category_no_pretrain,Carbides,CGCNN,0.5553004145622253,,0.21408964693546295,,0.000265657901763916,,0.5553004145622253,,0.21408964693546295,,0.000265657901763916,,1,1,1,1,1,1
category_no_pretrain,Carbides,CHGNet,0.479804128408432,,0.15676286816596985,,-0.2778698205947876,,0.479804128408432,,0.15676286816596985,,-0.2778698205947876,,1,1,1,1,1,1
category_no_pretrain,Carbides,LEFTNet,0.5371024012565613,,0.1987038403749466,,-0.43575477600097656,,0.5371024012565613,,0.1987038403749466,,-0.4357546269893646,,1,1,1,1,1,1
category_no_pretrain,Carbides,Linear Regression,0.8537129087970258,,0.3727193788428923,,-1.1180627154868215,,0.8537129087970258,,0.3727193788428923,,-1.1180627154868215,,1,1,1,1,1,1
category_no_pretrain,Carbides,Random Forest,0.6004392622198377,,0.2427183049526103,,-0.07981611316992532,,0.6004392622198377,,0.2427183049526103,,-0.07981611316992532,,1,1,1,1,1,1
category_no_pretrain,Carbides,Support Vector Regression,0.6429353008722283,,0.2520332840905683,,-0.3038416922993399,,0.6429353008722283,,0.2520332840905683,,-0.3038416922993399,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,ALIGNN,0.6563903093338013,,0.3417169749736786,,-0.1686619371175766,,0.6563903093338013,,0.3417169749736786,,-0.1686619371175766,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,CartNet,0.7261627316474915,,0.3648008108139038,,-0.3401097059249878,,0.7261626124382019,,0.3648008406162262,,-0.3526161015033722,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,CGCNN,0.6667126417160034,,0.39685526490211487,,-0.13106182217597961,,0.6667126417160034,,0.39685526490211487,,-0.13106182217597961,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,CHGNet,0.6441067457199097,,0.37173187732696533,,-0.07166172564029694,,0.6441067457199097,,0.3717319071292877,,-0.07166174799203873,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,LEFTNet,0.987670361995697,,0.4471556842327118,,-1.313861608505249,,0.987670361995697,,0.4471556842327118,,-1.3138612508773804,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,Linear Regression,0.614411481956459,,0.4091268786309289,,0.06160280212640268,,0.614411481956459,,0.4091268786309289,,0.06160280212640268,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,Random Forest,0.6193466245869307,,0.36554350390025314,,0.04983787936892925,,0.6193466245869307,,0.36554350390025314,,0.04983787936892925,,1,1,1,1,1,1
category_no_pretrain,Chalcogenides,Support Vector Regression,0.8104826707099774,,0.39923575732466315,,-0.5513704577548655,,0.8104826707099774,,0.39923575732466315,,-0.5513704577548655,,1,1,1,1,1,1
category_no_pretrain,Halides,ALIGNN,1.153074026107788,,0.44889888167381287,,-1.2230901718139648,,1.153074026107788,,0.44889888167381287,,-1.2230901718139648,,1,1,1,1,1,1
category_no_pretrain,Halides,CartNet,0.9681444764137268,,0.37039563059806824,,-0.685185968875885,,0.9681444764137268,,0.37039563059806824,,-0.7490116357803345,,1,1,1,1,1,1
category_no_pretrain,Halides,CGCNN,1.0127575397491455,,0.4046485126018524,,-0.755712628364563,,1.0127575397491455,,0.4046485126018524,,-0.755712628364563,,1,1,1,1,1,1
category_no_pretrain,Halides,CHGNet,0.931675374507904,,0.38451388478279114,,-0.5160499215126038,,0.931675374507904,,0.38451388478279114,,-0.5160499215126038,,1,1,1,1,1,1
category_no_pretrain,Halides,LEFTNet,1.2051397562026978,,0.4406179189682007,,-1.546553611755371,,1.2051397562026978,,0.4406179189682007,,-1.546553611755371,,1,1,1,1,1,1
category_no_pretrain,Halides,Linear Regression,1.1661064794092941,,0.4848821071150505,,-1.1060392566321462,,1.1661064794092941,,0.4848821071150505,,-1.1060392566321462,,1,1,1,1,1,1
category_no_pretrain,Halides,Random Forest,0.9403043860047118,,0.43999085070056987,,-0.3833145913191791,,0.9403043860047118,,0.43999085070056987,,-0.3833145913191791,,1,1,1,1,1,1
category_no_pretrain,Halides,Support Vector Regression,1.228992199277094,,0.4680116514499361,,-1.3407684260021457,,1.228992199277094,,0.4680116514499361,,-1.3407684260021457,,1,1,1,1,1,1
category_no_pretrain,Hydrides,ALIGNN,1.0457278490066528,,0.3921990394592285,,-0.22380197048187256,,1.0457278490066528,,0.3921990394592285,,-0.22380197048187256,,1,1,1,1,1,1
category_no_pretrain,Hydrides,CartNet,1.0711205005645752,,0.37856823205947876,,-0.4333961009979248,,1.0711205005645752,,0.378568172454834,,-0.43339598178863525,,1,1,1,1,1,1
category_no_pretrain,Hydrides,CGCNN,0.9251586198806763,,0.3752339482307434,,0.0021553635597229004,,0.9251586198806763,,0.3752339482307434,,0.0021553635597229004,,1,1,1,1,1,1
category_no_pretrain,Hydrides,CHGNet,1.239396333694458,,0.426544189453125,,-0.7201488018035889,,1.239396333694458,,0.426544189453125,,-0.7201488018035889,,1,1,1,1,1,1
category_no_pretrain,Hydrides,LEFTNet,1.0727620124816895,,0.39511018991470337,,-0.3075282573699951,,1.0727620124816895,,0.39511018991470337,,-0.30752813816070557,,1,1,1,1,1,1
category_no_pretrain,Hydrides,Linear Regression,2.340773582458496,,1.0133640766143799,,-8.970575332641602,,2.340773582458496,,1.0133640766143799,,-8.970575332641602,,1,1,1,1,1,1
